Age ,Gender,Highest Educational Qualification,Degree or Programs,Current Employment Status,"Have you completed any micro-credentials related to IT (e.g., courses on programming, data science, cybersecurity)?","If “Yes,” please specify the areas",How would you rate the relevance of micro-credentials to your current or desired job role?,To what extent can micro-credentials help you improve job-relevant skills that were not covered in your traditional education?,"In your experience, do micro-credentials make you feel more prepared for job responsibilities?",Have you secured a job since graduating?,"If you have secured a job, how long did it take you to find your first job after graduation?",To what extent do you believe that micro-credentials (if obtained) contributed to finding a job within this time period?,How would you rate the relevance of micro-credentials to the job you obtained?,"If you obtained a job several months after graduating, what do you believe were the main reasons for the delay? (Select all that apply)",How much do you agree with the statement: “Having earned a micro-credential has or will improve my employment prospects and job readiness,How likely are you to pursue additional micro-credentials in the future to improve your career prospects?,How do you perceive the value of micro-credentials compared to traditional degrees in securing IT-related job opportunities?,"Optional:
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Significant improvement,Well prepared,No,,Significant contribution,4,"Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field",Agree,Very likely,More valuable,
24,Male,Other,HSC,Unemployed,No,,Moderately relevant,Slight improvement,Slightly prepared,No,,,2,Lack of relevant job experience,Neutral,Neutral,Neutral,
25,Male,Other,Computer Science & Engineering (CSE),Unemployed,No,,Slightly relevant,Considerable improvement,Slightly prepared,No,More than 24 months,No contribution,1,"Lack of relevant job experience, ",Neutral,Very unlikely,Neutral,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Employed,No,,Highly relevant,Considerable improvement,Well prepared,No,7-12 months,Significant contribution,5,Mismatch between academic skills and job market requirements,Agree,Likely,More valuable,A certificate at the end of the course will be very useful.
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,"সাইবার নিরাপত্তা, ডেটা সায়েন্স ",Relevant,Significant improvement,Well prepared,No,,,,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field",Agree,Likely,More valuable,"If the micro-credential course has a specific structure, it will be very helpful in getting a job."
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Employed,Yes,Yes ,Relevant,Considerable improvement,Well prepared,No,4-6 months,Significant contribution,5,Mismatch between academic skills and job market requirements,Strongly Agree,Likely,More valuable,No
24,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Highly relevant,Significant improvement,Highly prepared,No,,,1,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field, Personal reasons (e.g., further studies, family obligations), ",Agree,Very likely,Neutral,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,"CODE SOLVING, Digital marketing, cpa marketing etc",Highly relevant,Considerable improvement,Slightly prepared,No,4-6 months,Moderate contribution,5,Absence of micro-credentials or specialized certifications,Strongly Disagree,Neutral,Neutral,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,,Relevant,Considerable improvement,Moderately prepared,No,,,,Limited job opportunities in my desired field,Agree,Neutral,Neutral,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,Programming ,Relevant,Considerable improvement,Highly prepared,Yes,Less than 1 month,Significant contribution,4,Mismatch between academic skills and job market requirements,Agree,Very likely,More valuable,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Highly relevant,Considerable improvement,Highly prepared,No,,Significant contribution,5,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field, Personal reasons (e.g., further studies, family obligations)",Agree,Very likely,Much more valuable,This is very important.
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,,Relevant,Significant improvement,Slightly prepared,No,Less than 1 month,Minor contribution (সামান্য অবদান রেখেছে),3,Lack of relevant job experience,Neutral,Neutral,Neutral,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,"C programming, java, python ",Relevant,Significant improvement,Well prepared,No,,Moderate contribution,4,Mismatch between academic skills and job market requirements,Agree,Likely,More valuable,
24,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Slightly relevant,Moderate improvement,Moderately prepared,No,,Significant contribution,,Mismatch between academic skills and job market requirements,Neutral,Likely,Neutral,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Moderate improvement,Well prepared,No,4-6 months,Moderate contribution,4,Absence of micro-credentials or specialized certifications,Agree,Likely,Neutral,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Considerable improvement,Moderately prepared,No,,Significant contribution,3,Mismatch between academic skills and job market requirements,Neutral,Neutral,Neutral,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Moderately relevant,Moderate improvement,Moderately prepared,No,,Moderate contribution,3,Limited job opportunities in my desired field,Agree,Likely,More valuable,
25,Female,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,Cood solving programming,Relevant,Significant improvement,Highly prepared,No,More than 24 months,Significant contribution,5,Lack of relevant job experience,Strongly Disagree,Very unlikely,Much less valuable,
24,Female,Other,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Considerable improvement,Well prepared,No,,,,Limited job opportunities in my desired field,Agree,Likely,More valuable,It’s good for job
25,Female,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,"Programming, problem solving, ",Relevant,Considerable improvement,Well prepared,No,,,,Mismatch between academic skills and job market requirements,Strongly Agree,Very likely,Neutral,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Considerable improvement,Moderately prepared,No,,,,Personal reason,Neutral,Neutral,Neutral,Good
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,"C programing,Java",Moderately relevant,No improvement,Slightly prepared,No,,No contribution,1,"Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements",Neutral,Neutral,Neutral,
27,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,"C programming,java,hmtl",Moderately relevant,Slight improvement,Slightly prepared,No,,No contribution,1,"Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements",Neutral,Neutral,Neutral,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,C programming ,Moderately relevant,Slight improvement,Slightly prepared,No,,Moderate contribution,3,Limited job opportunities in my desired field,Agree,Likely,More valuable,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,C programming  ,Moderately relevant,Moderate improvement,Slightly prepared,No,,Minor contribution (সামান্য অবদান রেখেছে),3,Limited job opportunities in my desired field,Agree,Likely,Less valuable,
24,Male,Bachelor’s,Computer Science & Engineering (CSE),Student,No,,Highly relevant,Significant improvement,Highly prepared,No,More than 24 months,Major contribution,5,Absence of micro-credentials or specialized certifications,Strongly Agree,Very likely,Much more valuable,
26,Female,Bachelor’s,Computer Science & Engineering (CSE),Employed,Yes,,Highly relevant,Significant improvement,Highly prepared,Yes,4-6 months,Significant contribution,5,Absence of micro-credentials or specialized certifications,Agree,Likely,Much more valuable,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Considerable improvement,Well prepared,No,4-6 months,,3,Limited job opportunities in my desired field,Agree,Likely,More valuable,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Moderate improvement,Moderately prepared,No,,,,"Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field",Neutral,Neutral,More valuable,
24,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Moderate improvement,Moderately prepared,No,,Significant contribution,3,Limited job opportunities in my desired field,Agree,Neutral,Neutral,No comment 
24,Female,Bachelor’s,Computer Science & Engineering (CSE),Student,No,,Relevant,Considerable improvement,Well prepared,No,,,,Absence of micro-credentials or specialized certifications,Strongly Agree,Likely,More valuable,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Considerable improvement,Well prepared,No,7-12 months,Moderate contribution,4,Limited job opportunities in my desired field,Agree,Likely,More valuable,
23,Female,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Considerable improvement,Well prepared,No,7-12 months,Moderate contribution,4,Limited job opportunities in my desired field,Agree,Likely,More valuable,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Considerable improvement,Well prepared,No,,Moderate contribution,,"Lack of relevant job experience, Mismatch between academic skills and job market requirements",Neutral,Neutral,Neutral,
26,Female,Bachelor’s,Agricultural science ,Student,No,,Relevant,Significant improvement,Highly prepared,No,,Significant contribution,3,Lack of relevant job experience,Agree,Likely,Neutral,
24,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,Yes,Cyber security ,Relevant,Moderate improvement,Moderately prepared,No,,,,Limited job opportunities in my desired field,Agree,Likely,Neutral,
25,Male,Other,agricultural Science ,Unemployed,No,,Relevant,Considerable improvement,Well prepared,No,,,,"Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Personal reasons (e.g., further studies, family obligations)",Agree,Neutral,Neutral,
25,Female,Bachelor’s,Agricultural science ,Student,No,,Relevant,Considerable improvement,Well prepared,No,12-24 months,Significant contribution,1,Limited job opportunities in my desired field,Agree,Likely,More valuable,
25,Female,Other,Computer Science & Engineering (CSE),Unemployed,No,,Highly relevant,Significant improvement,Well prepared,No,,,4,Mismatch between academic skills and job market requirements,Strongly Agree,Likely,More valuable,
27,Male,Bachelor’s,Agriculture science ,Unemployed,No,,Relevant,Considerable improvement,Well prepared,No,7-12 months,Significant contribution,4,Absence of micro-credentials or specialized certifications,Agree,Likely,More valuable,
25,Female,Bachelor’s,Agriculture ,Student,No,,Moderately relevant,Moderate improvement,Moderately prepared,No,,Moderate contribution,3,Mismatch between academic skills and job market requirements,Neutral,Neutral,Neutral,
24,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Considerable improvement,Well prepared,No,4-6 months,Significant contribution,5,Mismatch between academic skills and job market requirements,Agree,Likely,Neutral,It helps a lot.Thank You.
25,Male,Bachelor’s,AGS,Unemployed,No,,Moderately relevant,Moderate improvement,Moderately prepared,No,More than 24 months,Minor contribution (সামান্য অবদান রেখেছে),1,Lack of relevant job experience,Strongly Disagree,Very unlikely,Much less valuable,Nai
24,Female,Bachelor’s,Computer Science & Engineering (CSE),None,No,,Highly relevant,Significant improvement,Highly prepared,No,,,5,"Lack of relevant job experience, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field, Personal reasons (e.g., further studies, family obligations)",Strongly Agree,Very likely,Much more valuable,
29,Male,Master’s,Computer Science & Engineering (CSE),Employed,Yes,Web Development,Highly relevant,Significant improvement,Highly prepared,Yes,More than 24 months,Major contribution,5,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Personal reasons (e.g., further studies, family obligations)",Strongly Agree,Very likely,Much more valuable,"Micro-credentials play a vital role in enhancing the career prospects of IT graduates by providing targeted, industry-recognized skills that align with current job market needs, making them more employable and job-ready."
25,Female,Bachelor’s,Information Technology (IT),Unemployed,No,,Highly relevant,Significant improvement,Highly prepared,No,1-3 months,Major contribution,5,Absence of micro-credentials or specialized certifications,Strongly Agree,Very likely,Much more valuable,
28,Male,Master’s,Data Science,Self-employed,No,,Highly relevant,Significant improvement,Highly prepared,No,4-6 months,Major contribution,5,Mismatch between academic skills and job market requirements,Strongly Agree,Very likely,Much more valuable,
28,Male,Bachelor’s,Computer Science & Engineering (CSE),Employed,Yes,Software testing and quality assurance ,Highly relevant,Considerable improvement,Well prepared,Yes,7-12 months,Major contribution,3,Absence of micro-credentials or specialized certifications,Agree,Likely,Neutral,
26,Male,Bachelor’s,Multimedia & Creative Technology (MCT),Employed,Yes,Adobe Photoshop Mastery,Highly relevant,Significant improvement,Highly prepared,No,1-3 months,Major contribution,5,Mismatch between academic skills and job market requirements,Strongly Agree,Very likely,Much more valuable,
25,Female,Bachelor’s,Multimedia & Creative Technology (MCT),Employed,Yes,Motion Graphic,Highly relevant,Significant improvement,Highly prepared,No,4-6 months,Major contribution,5,Lack of relevant job experience,Strongly Agree,Very likely,Much more valuable,
26,Male,Bachelor’s,Multimedia & Creative Technology (MCT),Employed,Yes,Figma for UX/UI design,Highly relevant,Significant improvement,Highly prepared,No,4-6 months,Major contribution,5,Lack of relevant job experience,Strongly Agree,Very likely,Much more valuable,
24,Male,Bachelor’s,Multimedia & Creative Technology (MCT),Employed,Yes,Adobe photoshop Mastery,Highly relevant,Significant improvement,Highly prepared,No,4-6 months,Major contribution,5,Lack of relevant job experience,Strongly Agree,Very likely,Much more valuable,
27,Male,Bachelor’s,Multimedia & Creative Technology (MCT),Unemployed,No,,Highly relevant,Significant improvement,Highly prepared,No,More than 24 months,Major contribution,5,Absence of micro-credentials or specialized certifications,Strongly Agree,Likely,Much more valuable,
26,Male,Bachelor’s,Multimedia & Creative Technology (MCT),Unemployed,No,,Highly relevant,Significant improvement,Highly prepared,No,12-24 months,Major contribution,5,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications",Strongly Agree,Very likely,Much more valuable,
25,Female,Bachelor’s,Multimedia & Creative Technology (MCT),Unemployed,No,,Highly relevant,Significant improvement,Highly prepared,No,7-12 months,Major contribution,5,Absence of micro-credentials or specialized certifications,Strongly Agree,Very likely,Much more valuable,
26,Male,Bachelor’s,Multimedia & Creative Technology (MCT),Employed,Yes,Motion Graphics,Highly relevant,Significant improvement,Highly prepared,No,1-3 months,Major contribution,5,Lack of relevant job experience,Strongly Agree,Very likely,Much more valuable,
24,Female,Bachelor’s,Information Systems (IS),Employed,Yes,ERP with SAP,Highly relevant,Significant improvement,Highly prepared,No,4-6 months,Major contribution,5,Lack of relevant job experience,Strongly Agree,Very likely,Much more valuable,
25,Male,Bachelor’s,Information Systems (IS),Employed,Yes,ERP with SAP,Highly relevant,Significant improvement,Highly prepared,No,1-3 months,Major contribution,5,Lack of relevant job experience,Strongly Agree,Very likely,Much more valuable,
25,Female,Bachelor’s,Information Systems (IS),Employed,Yes,IT project Management,Highly relevant,Significant improvement,Highly prepared,No,4-6 months,Major contribution,5,"Lack of relevant job experience, Limited job opportunities in my desired field",Strongly Agree,Very likely,Much more valuable,
26,Female,Bachelor’s,Information Systems (IS),Employed,Yes,ERP with SAP,Highly relevant,Significant improvement,Highly prepared,No,1-3 months,Major contribution,5,Lack of relevant job experience,Strongly Agree,Very likely,Much more valuable,
26,Male,Bachelor’s,Information Systems (IS),Unemployed,No,,Highly relevant,Significant improvement,Highly prepared,No,7-12 months,Major contribution,5,Absence of micro-credentials or specialized certifications,Strongly Agree,Very likely,Much more valuable,
25,Female,Bachelor’s,Information Systems (IS),Unemployed,No,,Highly relevant,Significant improvement,Highly prepared,No,7-12 months,Major contribution,5,Absence of micro-credentials or specialized certifications,Strongly Agree,Very likely,Much more valuable,
26,Male,Bachelor’s,Information Systems (IS),Unemployed,No,,Highly relevant,Significant improvement,Well prepared,No,7-12 months,Major contribution,5,Absence of micro-credentials or specialized certifications,Strongly Agree,Very likely,Much more valuable,
25,Female,Bachelor’s,Information Systems (IS),Unemployed,No,,Highly relevant,Significant improvement,Highly prepared,No,7-12 months,Major contribution,5,Absence of micro-credentials or specialized certifications,Strongly Agree,Very likely,Much more valuable,
28,Male,Master’s,Data Science,Employed,Yes,Deep Learning with Tensor Flow,Highly relevant,Considerable improvement,Well prepared,Yes,1-3 months,Significant contribution,3,Lack of relevant job experience,Agree,Very likely,More valuable,
27,Male,Bachelor’s,Computer Science & Engineering (CSE),Employed,Yes,,Slightly relevant,Moderate improvement,Slightly prepared,Yes,4-6 months,Significant contribution,3,Mismatch between academic skills and job market requirements,Neutral,Neutral,Neutral,
24,Female,Bachelor’s,Multimedia & Creative Technology (MCT),Employed,Yes,Game Development ,Highly relevant,Significant improvement,Highly prepared,No,1-3 months,Major contribution,5,Lack of relevant job experience,Strongly Agree,Very likely,Much more valuable,
27,Male,Bachelor’s,Multimedia & Creative Technology (MCT),Employed,Yes,Motion Graphics ,Highly relevant,Significant improvement,Highly prepared,No,4-6 months,Major contribution,5,Lack of relevant job experience,Strongly Agree,Very likely,Much more valuable,
27,Male,Master’s,Multimedia & Creative Technology (MCT),Employed,Yes,Motion Graphic ,Highly relevant,Significant improvement,Highly prepared,No,1-3 months,Major contribution,5,Absence of micro-credentials or specialized certifications,Strongly Agree,Very likely,Much more valuable,
25,Female,Bachelor’s,Multimedia & Creative Technology (MCT),Unemployed,No,,Highly relevant,Significant improvement,Highly prepared,No,4-6 months,Major contribution,5,Absence of micro-credentials or specialized certifications,Strongly Agree,Very likely,Much more valuable,
26,Male,Bachelor’s,Multimedia & Creative Technology (MCT),Unemployed,No,,Highly relevant,Significant improvement,Highly prepared,No,7-12 months,Major contribution,5,Absence of micro-credentials or specialized certifications,Strongly Agree,Very likely,Much more valuable,
25,Female,Bachelor’s,Multimedia & Creative Technology (MCT),Employed,Yes,Motion Graphic ,Highly relevant,Significant improvement,Highly prepared,No,1-3 months,Major contribution,5,Lack of relevant job experience,Strongly Agree,Very likely,Much more valuable,
27,Female,Bachelor’s,Computer Information Systems (CIS),Unemployed,No,,Highly relevant,Considerable improvement,Highly prepared,No,,,,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field, Personal reasons (e.g., further studies, family obligations)",Strongly Agree,Very likely,Much more valuable,
29,Female,Bachelor’s,Computer Information Systems (CIS),Employed,Yes,Database Management with Oracle,Highly relevant,Significant improvement,Highly prepared,Yes,1-3 months,Significant contribution,5,"Personal reasons (e.g., further studies, family obligations)",Strongly Agree,Very likely,Much more valuable,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Employed,Yes,Programming with Python,Highly relevant,Significant improvement,Highly prepared,No,More than 24 months,Major contribution,5,Lack of relevant job experience,Strongly Agree,Very likely,Much more valuable,
24,Female,Bachelor’s,Information Technology (IT),Unemployed,No,,Relevant,Considerable improvement,Well prepared,No,,Major contribution,4,Absence of micro-credentials or specialized certifications,Agree,Likely,More valuable,
25,Female,Bachelor’s,Information Systems (IS),Employed,Yes,ERP with SAP,Relevant,Considerable improvement,Well prepared,Yes,1-3 months,Major contribution,5,Without delay,Strongly Agree,Very likely,Much more valuable,
25,Female,Bachelor’s,Multimedia & Creative Technology (MCT),Employed,Yes,Motion Graphics,Relevant,Considerable improvement,Well prepared,Yes,1-3 months,Major contribution,5,Without Delay i got this job By doing this Micro-credential course.,Strongly Agree,Very likely,More valuable,
28,Male,Bachelor’s,Data Science,Unemployed,No,,Relevant,Considerable improvement,Well prepared,No,,,,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field",Neutral,Neutral,More valuable,
29,Male,Master’s,Multimedia & Creative Technology (MCT),Unemployed,Yes,"pps,data structure,ethical hacking,web dev",Slightly relevant,Considerable improvement,Slightly prepared,No,,Minor contribution (সামান্য অবদান রেখেছে),3,Lack of relevant job experience,Neutral,Unlikely,Neutral,It should be more relevant 
25,Male,Bachelor’s,Multimedia & Creative Technology (MCT),Unemployed,Yes,Programing,Highly relevant,Significant improvement,Highly prepared,Yes,1-3 months,Significant contribution,5,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications",Agree,Likely,More valuable,Its helpful..
25,Male,Bachelor’s,Multimedia & Creative Technology (MCT),Employed,Yes,"C,C,java",Relevant,Moderate improvement,Well prepared,No,,Moderate contribution,3,Mismatch between academic skills and job market requirements,Neutral,Neutral,Neutral,
26,Male,Bachelor’s,Multimedia & Creative Technology (MCT),Employed,Yes,,Relevant,Considerable improvement,Highly prepared,Yes,4-6 months,Significant contribution,4,Mismatch between academic skills and job market requirements,Agree,Likely,More valuable,
26,Male,Bachelor’s,Information Technology (IT),Unemployed,No,,Relevant,Moderate improvement,Well prepared,No,,Significant contribution,4,Absence of micro-credentials or specialized certifications,Neutral,Neutral,Neutral,
24,Female,Bachelor’s,Information Systems (IS),Employed,Yes,Database Management with Oracle,Relevant,Significant improvement,Highly prepared,Yes,,Major contribution,5,"Personal reasons (e.g., further studies, family obligations)",Agree,Very likely,Much more valuable,
29,Male,Master’s,Information Systems (IS),Employed,Yes,Business Intelligence Tools,Relevant,Considerable improvement,Well prepared,Yes,4-6 months,Significant contribution,3,"Lack of relevant job experience, Mismatch between academic skills and job market requirements",Agree,Very likely,More valuable,
27,Male,Diploma,Computer Science & Engineering (CSE),Unemployed,No,,Highly relevant,Significant improvement,Well prepared,No,,,,"Lack of relevant job experience, Absence of micro-credentials or specialized certifications, Mismatch between academic skills and job market requirements",Strongly Agree,Very likely,Much more valuable,
26,Male,Bachelor’s,Information Technology (IT),Unemployed,No,,Moderately relevant,Moderate improvement,Moderately prepared,No,,Significant contribution,4,Lack of relevant job experience,Agree,Neutral,Neutral,
24,Female,Diploma,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Moderate improvement,Moderately prepared,No,,Moderate contribution,4,Lack of relevant job experience,Neutral,Neutral,Neutral,
30,Male,Master’s,Data Science,Employed,Yes,Machine Learning with Scikit-Learn,Highly relevant,Significant improvement,Highly prepared,Yes,4-6 months,Major contribution,5,"Personal reasons (e.g., further studies, family obligations)",Strongly Agree,Very likely,Much more valuable,
26,Male,Bachelor’s,Information Systems (IS),Employed,Yes,ERP with SAP,Highly relevant,Significant improvement,Highly prepared,Yes,,Significant contribution,5,I got the job within 3 month.,Agree,Very likely,Much more valuable,
24,Female,Bachelor’s,Computer Science & Engineering (CSE),Employed,Yes,Programming with Python,Highly relevant,Significant improvement,Well prepared,Yes,1-3 months,Major contribution,5,"Personal reasons (e.g., further studies, family obligations)",Strongly Agree,Very likely,Much more valuable,
28,Male,Master’s,Software Engineering (SWE),Employed,Yes,IT Project Management,Highly relevant,Considerable improvement,Well prepared,Yes,7-12 months,Significant contribution,4,"Lack of relevant job experience, Mismatch between academic skills and job market requirements, Limited job opportunities in my desired field",Strongly Agree,Likely,Much more valuable,
25,Male,Diploma,Computer Science & Engineering (CSE),Unemployed,No,,Moderately relevant,Moderate improvement,Moderately prepared,No,,Moderate contribution,3,Lack of relevant job experience,Neutral,Likely,Neutral,
29,Female,Bachelor’s,Software Engineering (SWE),Unemployed,No,,Relevant,Considerable improvement,Well prepared,Yes,More than 24 months,Moderate contribution,,"Personal reasons (e.g., further studies, family obligations)",Agree,Very likely,More valuable,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Moderately relevant,Considerable improvement,Well prepared,No,,Moderate contribution,3,Mismatch between academic skills and job market requirements,Neutral,Neutral,Neutral,
25,Male,Bachelor’s,Multimedia & Creative Technology (MCT),Unemployed,Yes,java,Moderately relevant,Moderate improvement,Moderately prepared,No,,,1,Mismatch between academic skills and job market requirements,Neutral,Neutral,Neutral,
27,Male,Bachelor’s,Computer Science & Engineering (CSE),Employed,Yes,Programming with Python ,Highly relevant,Significant improvement,Well prepared,No,,Moderate contribution,3,Lack of relevant job experience,Agree,Neutral,Neutral,
30,Male,Diploma,Computer Science & Engineering (CSE),Unemployed,No,,Slightly relevant,Moderate improvement,Slightly prepared,No,,No contribution,2,"Lack of relevant job experience, Mismatch between academic skills and job market requirements",Neutral,Likely,Neutral,
26,Male,Bachelor’s,Computer Science & Engineering (CSE),Unemployed,No,,Moderately relevant,Moderate improvement,Moderately prepared,No,,Moderate contribution,3,Lack of relevant job experience,Neutral,Neutral,Neutral,
24,Female,Bachelor’s,Multimedia & Creative Technology (MCT),Employed,Yes,Game Development ,Relevant,Significant improvement,Well prepared,Yes,,Major contribution,4,"Personal reasons (e.g., further studies, family obligations)",Strongly Agree,Very likely,Much more valuable,
24,Female,Bachelor’s,Multimedia & Creative Technology (MCT),Employed,Yes,Adobe Photoshop Mastery,Relevant,Considerable improvement,Well prepared,Yes,1-3 months,Significant contribution,5,"Personal reasons (e.g., further studies, family obligations)",Strongly Agree,Very likely,Much more valuable,
23,Male,Diploma,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Considerable improvement,Moderately prepared,No,,Moderate contribution,3,Lack of relevant job experience,Neutral,Neutral,Neutral,
31,Male,Master’s,Computer Science & Engineering (CSE),Employed,Yes,Full Stack Web Development,Highly relevant,Significant improvement,Highly prepared,Yes,1-3 months,Major contribution,5,"Without delay, I got the job",Strongly Agree,Very likely,Much more valuable,
24,Male,Diploma,Computer Science & Engineering (CSE),Unemployed,No,,Relevant,Considerable improvement,Moderately prepared,No,,Significant contribution,3,Lack of relevant job experience,Neutral,Neutral,Neutral,
29,Male,Master’s,Data Science,Employed,Yes,Web Development,Relevant,Considerable improvement,Well prepared,Yes,12-24 months,Significant contribution,4,"Personal reasons (e.g., further studies, family obligations)",Agree,Very likely,Much more valuable,
24,Female,Bachelor’s,Information Systems (IS),Employed,Yes,IT Project Management,Relevant,Significant improvement,Highly prepared,Yes,1-3 months,Major contribution,5,"Personal reasons (e.g., further studies, family obligations)",Strongly Agree,Very likely,Much more valuable,
26,Male,Diploma,Computer Science & Engineering (CSE),Unemployed,No,,Moderately relevant,Moderate improvement,Slightly prepared,No,,Significant contribution,3,Lack of relevant job experience,Neutral,Neutral,Neutral,
26,Female,Diploma,Computer Science & Engineering (CSE),Employed,Yes,Graphic Design,Relevant,Considerable improvement,Well prepared,Yes,7-12 months,Moderate contribution,4,"Personal reasons (e.g., further studies, family obligations)",Agree,Likely,More valuable,
25,Male,Bachelor’s,Multimedia & Creative Technology (MCT),Employed,Yes,Adobe Photoshop Mastery,Relevant,Considerable improvement,Highly prepared,Yes,1-3 months,Major contribution,5,"Personal reasons (e.g., further studies, family obligations)",Agree,Likely,Much more valuable,
25,Male,Bachelor’s,Computer Science & Engineering (CSE),Employed,Yes,Programming with Python,Highly relevant,Considerable improvement,Highly prepared,Yes,1-3 months,Major contribution,5,"Personal reasons (e.g., further studies, family obligations)",Agree,Very likely,Much more valuable,